Note	Hz	Clock Cycles Rounded for 88kHz
C1	32.7031956626	2688
C#1	34.6478288721	2528
D1	36.7080959897	2400
D#1	38.890872965300005	2272
E1	41.2034446141	2144
F1	43.6535289291	2016
F#1	46.249302838999995	1888
G1	48.99942949770001	1792
G#1	51.9130871975	1696
A1	55.0	1600
A#1	58.270470189799994	1504
B1	61.735412657	1440
C2	65.4063913251	1344
C#2	69.2956577442	1270
D2	73.4161919794	1199
D#2	77.78174593050001	1131
E2	82.4068892282	1068
F2	87.3070578583	1008
F#2	92.4986056779	951
G2	97.99885899540001	898
G#2	103.826174395	848
A2	110.0	800
A#2	116.54094037950001	755
B2	123.470825314	713
C3	130.8127826503	673
C#3	138.5913154884	635
D3	146.8323839587	599
D#3	155.56349186100002	566
E3	164.8137784564	534
F3	174.6141157165	504
F#3	184.9972113558	476
G3	195.99771799090001	449
G#3	207.65234879	424
A3	220.0	400
A#3	233.08188075900003	378
B3	246.9416506281	356
C4	261.6255653006	336
C#4	277.1826309769	317
D4	293.6647679174	300
D#4	311.12698372209996	283
E4	329.6275569129	267
F4	349.228231433	252
F#4	369.9944227116	238
G4	391.99543598180003	224
G#4	415.3046975799	212
A4	440.0	200
A#4	466.1637615181	189
B4	493.8833012561	178
C5	523.2511306012	168
C#5	554.3652619537	159
D5	587.3295358348	150
D#5	622.2539674441999	141
E5	659.2551138257	133
F5	698.456462866	126
F#5	739.9888454233001	119
G5	783.9908719635	112
G#5	830.6093951599	106
A5	880.0	100
A#5	932.3275230362	94
B5	987.7666025122	89
C6	1046.5022612024	84
C#6	1108.7305239075	79
D6	1174.6590716696	75
D#6	1244.5079348883	71
E6	1318.5102276515	67
F6	1396.912925732	63
F#6	1479.9776908464999	59
G6	1567.981743927	56
G#6	1661.2187903198	53
A6	1760.0	50
A#6	1864.6550460724	47
B6	1975.5332050245001	45
